╔══════════════════════════════════════════════════════════╗
║               HADES V19 — DB EXPORT                    ║
  EXACT_♠️_4_8              EXACT         1      0     0  -100.0% →🔴
  EXACT_♦️_4_8              EXACT         0      1     0  +100.0% →🔵
  EXACT_♠️_4_9              EXACT         0      1     0  +100.0% →🔵
  EXACT_♥️_4_9              EXACT         3      0     0  -100.0% →🔴
  EXACT_♣️_5_0              EXACT         1      0     0  -100.0% →🔴
  EXACT_♥️_5_0              EXACT         0      1     0  +100.0% →🔵
  EXACT_♦️_5_0              EXACT         0      2     0  +100.0% →🔵
  EXACT_♠️_5_1              EXACT         1      0     0  -100.0% →🔴
  EXACT_♣️_5_1              EXACT         2      0     0  -100.0% →🔴
  EXACT_♥️_5_1              EXACT         1      0     0  -100.0% →🔴
  EXACT_♦️_5_1              EXACT         1      0     0  -100.0% →🔴
  EXACT_♠️_5_2              EXACT         0      1     0  +100.0% →🔵
  EXACT_♣️_5_2              EXACT         2      1     0  -33.3% →🔴
  EXACT_♦️_5_2              EXACT         0      1     0  +100.0% →🔵
  EXACT_♠️_5_3              EXACT         2      0     0  -100.0% →🔴
  EXACT_♥️_5_3              EXACT         0      1     0  +100.0% →🔵
  EXACT_♠️_5_4              EXACT         1      0     0  -100.0% →🔴
  EXACT_♣️_5_4              EXACT         1      0     0  -100.0% →🔴
  EXACT_♦️_5_4              EXACT         1      0     0  -100.0% →🔴
  EXACT_♥️_5_5              EXACT         0      1     0  +100.0% →🔵
  EXACT_♦️_5_5              EXACT         0      1     0  +100.0% →🔵
  EXACT_♠️_5_6              EXACT         2      0     0  -100.0% →🔴
  EXACT_♣️_5_6              EXACT         0      1     0  +100.0% →🔵
  EXACT_♥️_5_6              EXACT         0      1     0  +100.0% →🔵
  EXACT_♦️_5_6              EXACT         2      2     0  +0.0%   =
  EXACT_♠️_5_7              EXACT         0      4     0  +100.0% →🔵
  EXACT_♣️_5_7              EXACT         0      2     0  +100.0% →🔵
  EXACT_♥️_5_7              EXACT         0      1     0  +100.0% →🔵
  EXACT_♦️_5_7              EXACT         0      2     0  +100.0% →🔵
  EXACT_♠️_5_8              EXACT         0      1     0  +100.0% →🔵
  EXACT_♣️_5_8              EXACT         1      1     0  +0.0%   =
  EXACT_♥️_5_8              EXACT         0      1     0  +100.0% →🔵
  EXACT_♦️_5_8              EXACT         2      1     0  -33.3% →🔴
  EXACT_♠️_5_9              EXACT         2      1     0  -33.3% →🔴
  EXACT_♥️_5_9              EXACT         1      0     0  -100.0% →🔴
  EXACT_♦️_5_9              EXACT         0      1     0  +100.0% →🔵
  EXACT_♣️_6_0              EXACT         1      1     0  +0.0%   =
  EXACT_♦️_6_0              EXACT         0      3     0  +100.0% →🔵
  EXACT_♠️_6_1              EXACT         1      0     0  -100.0% →🔴
  EXACT_♦️_6_1              EXACT         1      0     0  -100.0% →🔴
  EXACT_♣️_6_2              EXACT         2      0     0  -100.0% →🔴
  EXACT_♠️_6_3              EXACT         1      0     0  -100.0% →🔴
  EXACT_♦️_6_3              EXACT         1      1     0  +0.0%   =
  EXACT_♠️_6_4              EXACT         2      0     0  -100.0% →🔴
  EXACT_♥️_6_4              EXACT         1      0     0  -100.0% →🔴
  EXACT_♥️_6_5              EXACT         1      0     0  -100.0% →🔴
  EXACT_♦️_6_5              EXACT         0      1     0  +100.0% →🔵
  EXACT_♠️_6_6              EXACT         0      3     1  +75.0% →🔵
  EXACT_♣️_6_6              EXACT         1      0     0  -100.0% →🔴
  EXACT_♠️_6_7              EXACT         1      0     0  -100.0% →🔴
  EXACT_♣️_6_7              EXACT         2      1     0  -33.3% →🔴
  EXACT_♥️_6_7              EXACT         1      0     0  -100.0% →🔴
  EXACT_♠️_6_8              EXACT         0      1     0  +100.0% →🔵
  EXACT_♣️_6_8              EXACT         0      1     0  +100.0% →🔵
  EXACT_♦️_6_8              EXACT         2      1     1  -25.0% →🔴
  EXACT_♠️_6_9              EXACT         1      1     0  +0.0%   =
  EXACT_♣️_6_9              EXACT         1      1     0  +0.0%   =
  EXACT_♦️_6_9              EXACT         2      0     0  -100.0% →🔴
  EXACT_♠️_7_0              EXACT         0      1     0  +100.0% →🔵
  EXACT_♣️_7_0              EXACT         1      0     0  -100.0% →🔴
  EXACT_♥️_7_0              EXACT         2      1     0  -33.3% →🔴
  EXACT_♦️_7_0              EXACT         1      1     0  +0.0%   =
  EXACT_♣️_7_1              EXACT         1      0     0  -100.0% →🔴
  EXACT_♥️_7_1              EXACT         1      2     1  +25.0% →🔵
  EXACT_♦️_7_1              EXACT         0      1     1  +50.0% →🔵
  EXACT_♠️_7_2              EXACT         1      0     0  -100.0% →🔴
  EXACT_♠️_7_3              EXACT         1      1     0  +0.0%   =
  EXACT_♣️_7_3              EXACT         0      2     0  +100.0% →🔵
  EXACT_♥️_7_3              EXACT         0      1     0  +100.0% →🔵
  EXACT_♠️_7_4              EXACT         1      0     0  -100.0% →🔴
  EXACT_♥️_7_4              EXACT         0      1     0  +100.0% →🔵
  EXACT_♠️_7_5              EXACT         0      0     1  +0.0%   =
  EXACT_♣️_7_5              EXACT         2      1     0  -33.3% →🔴
  EXACT_♥️_7_5              EXACT         1      0     1  -50.0% →🔴
  EXACT_♠️_7_6              EXACT         1      1     0  +0.0%   =
  EXACT_♣️_7_6              EXACT         0      1     0  +100.0% →🔵
  EXACT_♥️_7_6              EXACT         1      0     0  -100.0% →🔴
  EXACT_♦️_7_6              EXACT         0      1     0  +100.0% →🔵
  EXACT_♠️_7_7              EXACT         3      1     0  -50.0% →🔴
  EXACT_♥️_7_7              EXACT         1      1     0  +0.0%   =
  EXACT_♦️_7_7              EXACT         0      2     0  +100.0% →🔵
  EXACT_♠️_7_8              EXACT         1      1     0  +0.0%   =
  EXACT_♦️_7_8              EXACT         1      0     0  -100.0% →🔴
  EXACT_♠️_7_9              EXACT         1      0     0  -100.0% →🔴
  EXACT_♣️_7_9              EXACT         1      0     0  -100.0% →🔴
  EXACT_♥️_7_9              EXACT         2      0     0  -100.0% →🔴
  EXACT_♠️_8_0              EXACT         1      0     0  -100.0% →🔴
  EXACT_♥️_8_0              EXACT         1      0     0  -100.0% →🔴
  EXACT_♦️_8_0              EXACT         0      2     0  +100.0% →🔵
  EXACT_♣️_8_1              EXACT         2      0     0  -100.0% →🔴
  EXACT_♦️_8_1              EXACT         1      0     0  -100.0% →🔴
  EXACT_♠️_8_2              EXACT         2      0     0  -100.0% →🔴
  EXACT_♥️_8_2              EXACT         0      1     0  +100.0% →🔵
  EXACT_♦️_8_2              EXACT         1      0     0  -100.0% →🔴
  EXACT_♠️_8_3              EXACT         1      0     0  -100.0% →🔴
  EXACT_♣️_8_3              EXACT         1      0     0  -100.0% →🔴
  EXACT_♥️_8_3              EXACT         1      0     0  -100.0% →🔴
  EXACT_♦️_8_3              EXACT         1      1     0  +0.0%   =
  EXACT_♣️_8_4              EXACT         1      0     0  -100.0% →🔴
  EXACT_♥️_8_4              EXACT         2      1     0  -33.3% →🔴
  EXACT_♠️_8_5              EXACT         0      1     0  +100.0% →🔵
  EXACT_♣️_8_5              EXACT         0      1     0  +100.0% →🔵
  EXACT_♥️_8_5              EXACT         0      1     0  +100.0% →🔵
  EXACT_♦️_8_5              EXACT         0      2     0  +100.0% →🔵
  EXACT_♠️_8_6              EXACT         1      1     0  +0.0%   =
  EXACT_♥️_8_6              EXACT         0      1     0  +100.0% →🔵
  EXACT_♠️_8_7              EXACT         1      1     1  +0.0%   =
  EXACT_♣️_8_7              EXACT         0      1     0  +100.0% →🔵
  EXACT_♥️_8_7              EXACT         0      1     0  +100.0% →🔵
  EXACT_♦️_8_7              EXACT         0      1     0  +100.0% →🔵
  EXACT_♣️_8_8              EXACT         1      0     0  -100.0% →🔴
  EXACT_♠️_8_9              EXACT         2      1     0  -33.3% →🔴
  EXACT_♣️_8_9              EXACT         1      1     0  +0.0%   =
  EXACT_♥️_8_9              EXACT         1      1     0  +0.0%   =
  EXACT_♦️_8_9              EXACT         1      0     0  -100.0% →🔴
  EXACT_♣️_9_0              EXACT         1      0     0  -100.0% →🔴
  EXACT_♥️_9_0              EXACT         1      1     0  +0.0%   =
  EXACT_♦️_9_0              EXACT         0      2     0  +100.0% →🔵
  EXACT_♥️_9_1              EXACT         1      0     0  -100.0% →🔴
  EXACT_♦️_9_1              EXACT         0      1     0  +100.0% →🔵
  EXACT_♠️_9_2              EXACT         3      1     0  -50.0% →🔴
  EXACT_♥️_9_2              EXACT         0      0     2  +0.0%   =
  EXACT_♦️_9_2              EXACT         4      0     1  -80.0% →🔴
  EXACT_♥️_9_3              EXACT         0      2     0  +100.0% →🔵
  EXACT_♠️_9_4              EXACT         1      0     0  -100.0% →🔴
  EXACT_♥️_9_4              EXACT         1      0     0  -100.0% →🔴
  EXACT_♠️_9_5              EXACT         1      0     0  -100.0% →🔴
  EXACT_♦️_9_5              EXACT         1      0     0  -100.0% →🔴
  EXACT_♠️_9_6              EXACT         1      0     0  -100.0% →🔴
  EXACT_♣️_9_6              EXACT         1      0     0  -100.0% →🔴
  EXACT_♥️_9_6              EXACT         0      1     0  +100.0% →🔵
  EXACT_♦️_9_6              EXACT         1      1     0  +0.0%   =
  EXACT_♠️_9_7              EXACT         0      2     0  +100.0% →🔵
  EXACT_♣️_9_7              EXACT         2      0     0  -100.0% →🔴
  EXACT_♥️_9_7              EXACT         0      1     0  +100.0% →🔵
  EXACT_♦️_9_7              EXACT         1      0     0  -100.0% →🔴
  EXACT_♠️_9_8              EXACT         0      0     1  +0.0%   =
  EXACT_♣️_9_8              EXACT         1      2     0  +33.3% →🔵
  EXACT_♦️_9_8              EXACT         0      1     0  +100.0% →🔵
  EXACT_♠️_9_9              EXACT         0      2     0  +100.0% →🔵
  EXACT_♣️_9_9              EXACT         1      0     0  -100.0% →🔴
  EXACT_♥️_9_9              EXACT         1      1     0  +0.0%   =
  EXACT_♦️_9_9              EXACT         3      0     1  -75.0% →🔴
  EXACT_♣️_A_0              EXACT         2      0     0  -100.0% →🔴
  EXACT_♥️_A_0              EXACT         1      1     0  +0.0%   =
  EXACT_♣️_A_2              EXACT         0      1     1  +50.0% →🔵
  EXACT_♥️_A_2              EXACT         1      0     0  -100.0% →🔴
  EXACT_♠️_A_3              EXACT         1      0     0  -100.0% →🔴
  EXACT_♥️_A_3              EXACT         2      1     0  -33.3% →🔴
  EXACT_♦️_A_3              EXACT         1      2     0  +33.3% →🔵
  EXACT_♠️_A_4              EXACT         1      1     0  +0.0%   =
  EXACT_♣️_A_4              EXACT         2      0     0  -100.0% →🔴
  EXACT_♦️_A_4              EXACT         1      0     1  -50.0% →🔴
  EXACT_♠️_A_5              EXACT         0      1     0  +100.0% →🔵
  EXACT_♥️_A_5              EXACT         0      1     0  +100.0% →🔵
  EXACT_♦️_A_5              EXACT         1      0     1  -50.0% →🔴
  EXACT_♠️_A_6              EXACT         1      0     0  -100.0% →🔴
  EXACT_♣️_A_6              EXACT         0      1     0  +100.0% →🔵
  EXACT_♥️_A_6              EXACT         0      1     0  +100.0% →🔵
  EXACT_♦️_A_6              EXACT         0      1     0  +100.0% →🔵
  EXACT_♠️_A_7              EXACT         1      1     0  +0.0%   =
  EXACT_♠️_A_8              EXACT         1      0     1  -50.0% →🔴
  EXACT_♥️_A_8              EXACT         0      1     0  +100.0% →🔵
  EXACT_♦️_A_8              EXACT         0      1     0  +100.0% →🔵
  EXACT_♣️_A_9              EXACT         2      2     0  +0.0%   =
  EXACT_♦️_A_9              EXACT         1      0     0  -100.0% →🔴
  EXACT_♣️_J_0              EXACT         1      0     0  -100.0% →🔴
  EXACT_♦️_J_0              EXACT         0      1     0  +100.0% →🔵
  EXACT_♠️_J_1              EXACT         0      3     0  +100.0% →🔵
  EXACT_♥️_J_1              EXACT         2      0     0  -100.0% →🔴
  EXACT_♠️_J_2              EXACT         2      0     0  -100.0% →🔴
  EXACT_♣️_J_2              EXACT         2      0     0  -100.0% →🔴
  EXACT_♠️_J_3              EXACT         0      1     0  +100.0% →🔵
  EXACT_♣️_J_3              EXACT         0      1     0  +100.0% →🔵
  EXACT_♥️_J_3              EXACT         1      1     0  +0.0%   =
  EXACT_♥️_J_4              EXACT         1      0     0  -100.0% →🔴
  EXACT_♠️_J_5              EXACT         1      0     0  -100.0% →🔴
  EXACT_♣️_J_5              EXACT         1      0     0  -100.0% →🔴
  EXACT_♥️_J_6              EXACT         1      0     0  -100.0% →🔴
  EXACT_♦️_J_6              EXACT         1      0     0  -100.0% →🔴
  EXACT_♠️_J_7              EXACT         1      0     0  -100.0% →🔴
  EXACT_♣️_J_7              EXACT         1      0     0  -100.0% →🔴
  EXACT_♥️_J_7              EXACT         0      1     0  +100.0% →🔵
  EXACT_♠️_J_8              EXACT         0      1     0  +100.0% →🔵
  EXACT_♥️_J_8              EXACT         2      1     0  -33.3% →🔴
  EXACT_♠️_J_9              EXACT         2      0     0  -100.0% →🔴
  EXACT_♥️_J_9              EXACT         2      1     0  -33.3% →🔴
  EXACT_♦️_J_9              EXACT         0      2     0  +100.0% →🔵
  EXACT_♣️_K_0              EXACT         1      0     0  -100.0% →🔴
  EXACT_♥️_K_0              EXACT         1      1     0  +0.0%   =
  EXACT_♦️_K_0              EXACT         0      2     0  +100.0% →🔵
  EXACT_♣️_K_1              EXACT         1      2     0  +33.3% →🔵
  EXACT_♣️_K_2              EXACT         1      0     1  -50.0% →🔴
  EXACT_♥️_K_2              EXACT         0      1     0  +100.0% →🔵
  EXACT_♦️_K_2              EXACT         0      1     0  +100.0% →🔵
  EXACT_♣️_K_3              EXACT         0      1     0  +100.0% →🔵
  EXACT_♦️_K_3              EXACT         1      0     0  -100.0% →🔴
  EXACT_♠️_K_4              EXACT         1      0     0  -100.0% →🔴
  EXACT_♥️_K_4              EXACT         1      0     0  -100.0% →🔴
  EXACT_♠️_K_5              EXACT         3      0     0  -100.0% →🔴
  EXACT_♥️_K_5              EXACT         1      1     0  +0.0%   =
  EXACT_♦️_K_5              EXACT         0      1     0  +100.0% →🔵
  EXACT_♣️_K_6              EXACT         1      0     0  -100.0% →🔴
  EXACT_♥️_K_6              EXACT         2      0     0  -100.0% →🔴
  EXACT_♦️_K_6              EXACT         1      0     0  -100.0% →🔴
  EXACT_♣️_K_7              EXACT         0      1     0  +100.0% →🔵
  EXACT_♠️_K_8              EXACT         2      2     0  +0.0%   =
  EXACT_♦️_K_8              EXACT         1      0     0  -100.0% →🔴
  EXACT_♣️_K_9              EXACT         1      0     0  -100.0% →🔴
  EXACT_♥️_K_9              EXACT         0      1     0  +100.0% →🔵
  EXACT_♣️_Q_0              EXACT         0      1     0  +100.0% →🔵
  EXACT_♣️_Q_1              EXACT         0      2     0  +100.0% →🔵
  EXACT_♥️_Q_1              EXACT         1      0     0  -100.0% →🔴
  EXACT_♠️_Q_2              EXACT         0      0     1  +0.0%   =
  EXACT_♣️_Q_2              EXACT         1      2     0  +33.3% →🔵
  EXACT_♦️_Q_2              EXACT         2      0     0  -100.0% →🔴
  EXACT_♣️_Q_3              EXACT         0      1     0  +100.0% →🔵
  EXACT_♥️_Q_3              EXACT         1      0     0  -100.0% →🔴
  EXACT_♠️_Q_4              EXACT         1      0     1  -50.0% →🔴
  EXACT_♣️_Q_4              EXACT         2      1     0  -33.3% →🔴
  EXACT_♥️_Q_4              EXACT         0      1     0  +100.0% →🔵
  EXACT_♠️_Q_5              EXACT         0      1     0  +100.0% →🔵
  EXACT_♣️_Q_5              EXACT         1      1     0  +0.0%   =
  EXACT_♥️_Q_5              EXACT         0      1     0  +100.0% →🔵
  EXACT_♦️_Q_5              EXACT         0      1     0  +100.0% →🔵
  EXACT_♣️_Q_6              EXACT         1      2     0  +33.3% →🔵
  EXACT_♥️_Q_6              EXACT         1      0     0  -100.0% →🔴
  EXACT_♠️_Q_7              EXACT         1      1     0  +0.0%   =
  EXACT_♣️_Q_7              EXACT         1      1     0  +0.0%   =
  EXACT_♥️_Q_7              EXACT         0      1     0  +100.0% →🔵
  EXACT_♦️_Q_7              EXACT         1      1     0  +0.0%   =
  EXACT_♠️_Q_8              EXACT         2      0     0  -100.0% →🔴
  EXACT_♣️_Q_8              EXACT         1      1     0  +0.0%   =
  EXACT_♥️_Q_8              EXACT         0      1     0  +100.0% →🔵
  EXACT_♦️_Q_8              EXACT         1      1     0  +0.0%   =
  EXACT_♥️_Q_9              EXACT         0      1     0  +100.0% →🔵
  EXACT_♦️_Q_9              EXACT         1      1     0  +0.0%   =
  RANK_10                   RANK         21     14     0  -20.0% →🔴
  RANK_2                    RANK         12     19     2  +21.2% →🔵
  RANK_3                    RANK         12     23     1  +30.6% →🔵
  RANK_4                    RANK         16     13     1  -10.0% →🔴
  RANK_5                    RANK          8      9     0  +5.9% →🔵
  RANK_6                    RANK         15     13     1  -6.9% →🔴
  RANK_7                    RANK          7      9     2  +11.1% →🔵
  RANK_8                    RANK         12     16     2  +13.3% →🔵
  RANK_9                    RANK         11     16     0  +18.5% →🔵
  RANK_A                    RANK         18     18     1  +0.0%   =
  RANK_J                    RANK         16     14     2  -6.2% →🔴
  RANK_K                    RANK         11      9     0  -10.0% →🔴
  RANK_Q                    RANK         13     16     1  +10.0% →🔵
  SD_♠️_0                   SD            2      2     1  +0.0%   =
  SD_♣️_0                   SD            3      8     0  +45.5% →🔵
  SD_♥️_0                   SD            5      7     1  +15.4% →🔵
  SD_♦️_0                   SD            7      5     0  -16.7% →🔴
  SD_♠️_1                   SD            4      5     1  +10.0% →🔵
  SD_♣️_1                   SD            6      6     1  +0.0%   =
  SD_♥️_1                   SD            6      6     0  +0.0%   =
  SD_♦️_1                   SD            3      3     1  +0.0%   =
  SD_♠️_2                   SD            6      7     0  +7.7% →🔵
  SD_♣️_2                   SD            6      2     2  -40.0% →🔴
  SD_♥️_2                   SD            3      5     0  +25.0% →🔵
  SD_♦️_2                   SD            4      0     0  -100.0% →🔴
  SD_♠️_3                   SD            5      4     0  -11.1% →🔴
  SD_♣️_3                   SD            6      5     0  -9.1% →🔴
  SD_♥️_3                   SD            6      9     0  +20.0% →🔵
  SD_♦️_3                   SD            2      3     0  +20.0% →🔵
  SD_♠️_4                   SD            8      7     0  -6.7% →🔴
  SD_♣️_4                   SD            5      7     1  +15.4% →🔵
  SD_♥️_4                   SD            5      1     0  -66.7% →🔴
  SD_♦️_4                   SD            3      6     0  +33.3% →🔵
  SD_♠️_5                   SD            1      3     0  +50.0% →🔵
  SD_♣️_5                   SD            4      2     0  -33.3% →🔴
  SD_♥️_5                   SD            2      6     0  +50.0% →🔵
  SD_♦️_5                   SD           11      6     1  -27.8% →🔴
  SD_♠️_6                   SD            3      5     1  +22.2% →🔵
  SD_♣️_6                   SD            3      5     0  +25.0% →🔵
  SD_♥️_6                   SD            4      3     0  -14.3% →🔴
  SD_♦️_6                   SD            4      5     0  +11.1% →🔵
  SD_♠️_7                   SD            6      2     0  -50.0% →🔴
  SD_♣️_7                   SD            4      6     0  +20.0% →🔵
